Entry,m/z,CCS (angstrom^2),Retention time (min)
6633,178.0779368,140.2058673,15.21208333
5200,178.0781907,137.6738139,15.68783333
5199,178.0785064,137.6737973,15.56586667
3957,197.0946027,139.2835354,18.95621667
3956,197.0947992,139.2835268,19.45633333
3952,197.0952099,139.2835087,18.61466667
3951,197.0953364,139.2835032,17.5904
3606,200.0826215,139.1540639,18.32191667
3604,200.0830871,139.154044,15.24866667
5675,225.1264349,147.8504855,20.2611
2837,228.0939534,142.9860757,21.27355
2015,228.0950042,140.5600221,21.84688333
1445,229.9452842,138.0399905,14.95591667
1216,229.9453532,135.5470628,15.7854
1444,229.945415,138.0399863,14.79738333
1215,229.9455793,135.5470556,15.19986667
6786,236.1042061,152.101946,17.30983333
5251,237.9927819,149.7367762,14.2606
1497,237.9948009,140.2399259,15.34626667
1496,237.9950807,140.2399173,15.6512
6555,238.171309,152.0319297,19.2978
8653,238.1727273,156.5541708,18.61466667
2509,242.0938302,144.9198195,18.40731667
799,251.8601516,134.9052089,10.27256667
1764,253.0529992,144.5940318,16.40715
9428,259.1565003,162.4556854,19.33438333
8426,259.157727,160.2891353,19.50513333
7434,259.1585481,158.0994271,18.95621667
12256,262.2271707,168.7273872,20.57825
632,265.8765051,134.5488527,11.83393333
755,265.9034222,137.0227586,16.94388333
754,265.9034831,137.0227571,17.72456667
753,265.9035833,137.0227546,17.20003333
752,265.9036404,137.0227532,16.6999
3469,272.1172923,153.289906,20.3831
3093,276.0938316,153.1868471,26.5055
2233,276.0940652,150.9292204,26.89588333
2232,276.0948843,150.9291998,27.10321667
1635,276.094892,148.6448268,27.70095
10470,277.2020812,168.2869839,21.115
10469,277.2021477,168.286982,21.54191667
10468,277.203465,168.2869453,21.70051667
2888,278.1088416,153.1357239,26.70066667
5164,278.1088811,157.5731652,26.39571667
3901,278.1090639,155.3668421,26.56651667
5162,278.1091535,157.5731582,25.84718333
3900,278.109346,155.3668349,26.90803333
2886,278.109515,153.135707,27.48138333
3899,278.1095485,155.3668297,27.17641667
602,279.8593148,136.6967784,14.71198333
1578,287.9510926,150.6427342,18.71225
615,299.8649192,141.1021918,18.46828333
614,299.864998,141.1021902,18.87081667
9336,306.1829497,171.666183,18.63908333
887,331.8991023,151.9960352,17.4318
598,333.825734,147.4562222,20.49288333
11932,336.2045932,182.8760316,23.71281667
1457,341.875361,160.5272444,19.83448333
14309,351.2308881,190.1407557,24.38336667
10292,368.1174542,186.0718874,23.04195
11263,368.1176948,187.9524358,23.2859
15389,368.2301167,195.3299614,24.115
11275,410.1649291,196.4272434,24.43215
10343,410.1650497,194.6228341,24.67615
29762,514.350987,241.0142647,30.0911
31082,514.351313,242.5247277,29.03018333
28387,514.3514162,239.4963454,29.12776667
31141,528.3669645,245.3555558,31.4207
